iter	Logloss
0	0.6769987996
1	0.6634926351
2	0.6494392904
3	0.6371857707
4	0.6241585286
5	0.6125315857
6	0.600087382
7	0.5888302612
8	0.5772153219
9	0.5650829061
10	0.5547627258
11	0.5465301514
12	0.5382926432
13	0.5296714783
14	0.5204514567
15	0.5109329732
16	0.5023254395
17	0.4950788879
18	0.4867169189
19	0.4789520772
20	0.4728849284
21	0.4657063293
22	0.4590038045
23	0.4536819967
24	0.4484037272
25	0.442915802
26	0.4350973511
27	0.4302360026
28	0.4247727458
29	0.4196506755
30	0.4150733948
31	0.4109401957
32	0.4049708049
33	0.3998791504
34	0.394996287
35	0.3908590444
36	0.3856653849
37	0.3810602061
38	0.3772144572
39	0.3719714101
40	0.3685130819
41	0.3650965881
42	0.3605320485
43	0.357591451
44	0.3541726685
45	0.351362915
46	0.348860321
47	0.3447001394
48	0.3419854482
49	0.3391723633
50	0.335055542
51	0.3328528849
52	0.3303806051
53	0.32784139
54	0.3256697591
55	0.3235213725
56	0.3207711538
57	0.3182121277
58	0.31659139
59	0.3143144735
60	0.3126889292
61	0.3111317952
62	0.3087507375
63	0.3068261719
64	0.3054248047
65	0.3040207926
66	0.3023292287
67	0.3002489726
68	0.2984973653
69	0.2968991597
70	0.294237086
71	0.2926038361
72	0.2910986328
73	0.2898350271
74	0.2887673187
75	0.2871642303
76	0.2851204427
77	0.2832580312
78	0.2817365519
79	0.2805128479
80	0.2786592102
81	0.2768532308
82	0.27527771
83	0.2742426046
84	0.2723707581
85	0.2710026296
86	0.270004247
87	0.2690713501
88	0.2682942963
89	0.2673228963
90	0.2658883158
91	0.2650222778
92	0.2638657633
93	0.2630792236
94	0.2613437144
95	0.2601446025
96	0.2589192708
97	0.2580998739
98	0.2574207052
99	0.2565257263
100	0.2557166545
101	0.2543181864
102	0.2535286458
103	0.252536672
104	0.25193072
105	0.2509453328
106	0.2502260844
107	0.2500080617
108	0.2491502889
109	0.2478590139
110	0.2474149577
111	0.2462910461
112	0.2456444295
113	0.2449196116
114	0.2440204875
115	0.2429486593
116	0.2420109049
117	0.2415182749
118	0.2404457601
119	0.2398410288
120	0.2390980021
121	0.2382444763
122	0.2378183238
123	0.2369862874
124	0.236287384
125	0.2357409414
126	0.2351171366
127	0.2346928914
128	0.2343026225
129	0.2338214111
130	0.2332021077
131	0.2327107239
132	0.2316764323
133	0.2312243398
134	0.2307514954
135	0.2298341624
136	0.229252828
137	0.2285049438
138	0.2278358968
139	0.2272966766
140	0.2267989604
141	0.2262458801
142	0.2256717428
143	0.2246178691
144	0.2241480001
145	0.2234709167
146	0.222684199
147	0.2222584534
148	0.2218618774
149	0.2213615926
150	0.220655543
151	0.2198397827
152	0.2194552612
153	0.2191678874
154	0.218841807
155	0.2179001617
156	0.2174293009
157	0.2171874491
158	0.2167263794
159	0.2163480123
160	0.2155691528
161	0.2150128174
162	0.2145170085
163	0.2142007955
164	0.2134244792
165	0.2129791133
166	0.2125458781
167	0.2120598348
168	0.211396815
169	0.2110850016
170	0.2106826909
171	0.2102963511
172	0.2097431437
173	0.209405454
174	0.2089758301
175	0.2081946564
176	0.2076977158
177	0.2069379171
178	0.2064315287
179	0.2060153834
180	0.2056861369
181	0.2049537913
182	0.2045775604
183	0.2042443848
184	0.203813502
185	0.2033208084
186	0.2030304591
187	0.2026623027
188	0.2022399139
189	0.2015985489
190	0.2013940048
191	0.2009656525
192	0.2007252375
193	0.2002918752
194	0.1998098755
195	0.1993586858
196	0.1986368815
197	0.1983455912
198	0.1977800624
199	0.1974940236
200	0.1972112783
201	0.1969596354
202	0.1966515096
203	0.1963485336
204	0.1960693105
205	0.1958563995
206	0.1955171458
207	0.1949362183
208	0.1945717112
209	0.1939817683
210	0.1938261159
211	0.1936107127
212	0.1931388601
213	0.1930714544
214	0.1929109701
215	0.1925124486
216	0.1922419739
217	0.1919776026
218	0.1916129939
219	0.1912344106
220	0.1909018453
221	0.1905644735
222	0.1902183278
223	0.1898710124
224	0.1892281723
225	0.1889068985
226	0.1883751043
227	0.1880387243
228	0.187772789
229	0.1871513494
230	0.1867788951
231	0.1865104675
232	0.1861332957
233	0.1859228007
234	0.1855372238
235	0.1850517654
236	0.184707756
237	0.1843306096
238	0.184215978
239	0.1839182409
240	0.1835346222
241	0.1831072744
242	0.183096288
243	0.1827435557
244	0.1825182088
245	0.1822466151
246	0.182032458
247	0.181571757
248	0.1814152908
249	0.1811513901
250	0.180993398
251	0.1806672414
252	0.1803853734
253	0.1800095367
254	0.1798326619
255	0.1795283254
256	0.1792387899
257	0.1791083018
258	0.1787769572
259	0.1785756938
260	0.1782042694
261	0.1779958089
262	0.1777459844
263	0.1775382487
264	0.1772065735
265	0.176831576
266	0.1764682134
267	0.1762786357
268	0.1760168584
269	0.1757709757
270	0.1755356852
271	0.1750541433
272	0.1749051412
273	0.174670639
274	0.1744901657
275	0.1742277273
276	0.1740090942
277	0.1737545013
278	0.1736088308
279	0.1733960978
280	0.1731799062
281	0.1727876918
282	0.172582105
283	0.1724031576
284	0.1722204971
285	0.1720027542
286	0.1717854691
287	0.1715824636
288	0.1713013967
289	0.1710755157
290	0.1707454936
291	0.1705583954
292	0.1703345871
293	0.1701915105
294	0.1697984568
295	0.1696201579
296	0.1694140752
297	0.1690833155
298	0.168797226
299	0.1686750031
300	0.1684033585
301	0.168187561
302	0.1680439631
303	0.1676888402
304	0.1676839828
305	0.1674199931
306	0.1672762299
307	0.1669379298
308	0.1666657003
309	0.1665178172
310	0.16628287
311	0.1660877101
312	0.1657757568
313	0.1655054474
314	0.165320638
315	0.1651220957
316	0.1649399439
317	0.1647017161
318	0.1644991302
319	0.1644315084
320	0.1642158254
321	0.163962733
322	0.1637531662
323	0.1634714381
324	0.1632541656
325	0.1630673726
326	0.1628288015
327	0.1626713816
328	0.1622855377
329	0.1621278381
330	0.1617481486
331	0.161510671
332	0.161257604
333	0.1610917918
334	0.1609212367
335	0.1607433828
336	0.1606501261
337	0.1604712677
338	0.1602110926
339	0.1600307719
340	0.1597359467
341	0.1593596522
342	0.1592844772
343	0.1591467285
344	0.1589949799
345	0.1587890371
346	0.1586134211
347	0.1583422089
348	0.1581297048
349	0.157967008
350	0.1577032089
351	0.1574457804
352	0.1572881826
353	0.1571131134
354	0.1569396464
355	0.1566252391
356	0.1564089457
357	0.1562562434
358	0.1560660426
359	0.1559295527
360	0.1557803853
361	0.1556058121
362	0.1553149287
363	0.1551054382
364	0.1549069214
365	0.1546150589
366	0.1544374339
367	0.1542170461
368	0.1540391795
369	0.1538730367
370	0.1536704636
371	0.1534954961
372	0.1533284378
373	0.1530323537
374	0.1528128942
375	0.1526107407
376	0.1523938497
377	0.1521189626
378	0.1520188777
379	0.1518292109
380	0.1517064158
381	0.1515555445
382	0.1513290024
383	0.1511937968
384	0.1510407257
385	0.1508154678
386	0.1506782913
387	0.1504034678
388	0.1502969233
389	0.150211614
390	0.1500444539
391	0.1498565801
392	0.1497345734
393	0.1494871267
394	0.1493557358
395	0.1492003504
